age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,Private,190088,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,2784,61,38,Jamaica,>50K
20,Private,150582,10th,9,Divorced,Other-service,Own-child,White,Female,3910,103,29,United-States,<=50K
32,State-gov,198890,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,2053,139,50,Philippines,>50K
49,Self-emp-inc,184338,Some-college,8,Married-civ-spouse,Sales,Husband,White,Male,18034,161,50,United-States,>50K
52,Self-emp-inc,217732,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,33803,276,46,United-States,<=50K
21,Federal-gov,132506,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,2900,130,29,Jamaica,<=50K
20,Private,748973,Bachelors,15,Never-married,Handlers-cleaners,Not-in-family,White,Male,2999,55,42,United-States,<=50K
56,Local-gov,26451,HS-grad,11,Married-civ-spouse,Other-service,Husband,White,Male,2922,3001,45,United-States,>50K
49,Self-emp-inc,200122,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,94786,129,47,United-States,>50K
20,Private,176335,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,2066,65,26,United-States,<=50K
37,Federal-gov,111532,Masters,12,Never-married,Prof-specialty,Own-child,Black,Female,2619,170,35,Jamaica,>50K
49,Self-emp-inc,206732,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,93397,154,46,United-States,>50K
47,Self-emp-inc,170571,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,99639,98,48,United-States,>50K
44,Private,201411,Some-college,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,2178,18,42,Honduras,>50K
51,Private,187479,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99960,120,44,United-States,>50K
21,Private,133982,HS-grad,10,Never-married,Machine-op-inspct,Own-child,White,Female,2320,67,25,Jamaica,<=50K
35,Private,156964,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,1704,32,41,United-States,<=50K
21,Private,267282,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,1928,23,35,United-States,<=50K
48,Private,208023,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99980,88,46,United-States,>50K
44,Private,154172,Masters,12,Never-married,Prof-specialty,Husband,White,Female,2455,80,36,Jamaica,>50K
48,Private,230208,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,3288,414,43,United-States,>50K
39,Private,127315,Masters,11,Never-married,Prof-specialty,Own-child,White,Female,2749,98,33,Jamaica,>50K
25,Self-emp-not-inc,129386,Bachelors,14,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,1953,112,59,South,<=50K
42,State-gov,238214,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,3150,151,44,Jamaica,>50K
37,Private,127057,HS-grad,10,Never-married,Machine-op-inspct,Own-child,White,Female,2542,68,33,Jamaica,<=50K
50,Private,192552,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99984,127,43,United-States,>50K
48,Private,208674,HS-grad,7,Married-civ-spouse,Other-service,Husband,White,Male,12535,62,44,United-States,>50K
33,Self-emp-not-inc,196443,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Female,2036,134,50,Cuba,>50K
50,Private,203690,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,97343,113,43,United-States,>50K
31,Self-emp-not-inc,127417,Bachelors,13,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,2008,154,53,South,>50K
42,Private,145275,Masters,12,Never-married,Prof-specialty,Husband,White,Male,2626,79,35,Jamaica,>50K
19,Private,146437,Some-college,9,Never-married,Machine-op-inspct,Own-child,Other,Female,3653,57,25,United-States,<=50K
41,Local-gov,168741,Some-college,9,Separated,Adm-clerical,Wife,White,Male,7829,494,47,United-States,<=50K
48,Private,206641,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,99848,104,43,United-States,>50K
44,Private,152937,Assoc-acdm,8,Divorced,Tech-support,Unmarried,White,Female,9324,308,45,United-States,<=50K
49,Private,201352,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99971,115,43,United-States,>50K
42,Private,152316,HS-grad,8,Divorced,Tech-support,Unmarried,White,Male,9029,394,45,United-States,<=50K
48,Private,167399,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,27786,325,44,United-States,<=50K
26,Self-emp-not-inc,167247,Bachelors,14,Married-civ-spouse,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,2018,121,54,South,<=50K
52,Private,58159,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,2488,2788,40,United-States,<=50K
58,Private,19258,Some-college,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,2318,3003,43,United-States,<=50K
22,Self-emp-not-inc,140277,Bachelors,13,Married-civ-spouse,Protective-serv,Unmarried,Asian-Pac-Islander,Female,2062,82,63,South,<=50K
41,Private,212466,Some-college,13,Married-civ-spouse,Protective-serv,Husband,White,Male,3029,40,46,Cuba,<=50K
63,Local-gov,19260,Assoc-voc,10,Married-civ-spouse,Other-service,Not-in-family,White,Male,2516,3004,44,United-States,<=50K
26,Private,106776,HS-grad,10,Never-married,Machine-op-inspct,Own-child,White,Female,3301,82,28,Jamaica,<=50K
55,Private,59451,Masters,11,Married-civ-spouse,Other-service,Husband,White,Male,2504,2753,45,United-States,>50K
45,State-gov,154143,Masters,13,Widowed,Prof-specialty,Husband,Black,Female,2408,148,38,Jamaica,>50K
50,Private,165355,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,2678,1910,43,United-States,>50K
46,Private,217670,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,2316,49,43,Cuba,>50K
44,Private,143098,Assoc-acdm,8,Divorced,Other-service,Unmarried,White,Female,7504,434,45,United-States,<=50K
26,Self-emp-not-inc,184606,Bachelors,15,Married-civ-spouse,Protective-serv,Unmarried,White,Male,1286,88,53,Cuba,<=50K
38,State-gov,141571,Masters,13,Never-married,Prof-specialty,Husband,Black,Female,3442,239,40,Jamaica,>50K
19,Private,173060,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Other,Female,2584,58,24,United-States,<=50K
19,Private,178173,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,2380,47,30,United-States,<=50K
39,Private,144266,Bachelors,14,Never-married,Adm-clerical,Not-in-family,White,Female,1530,33,43,United-States,<=50K
20,Private,262063,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,3737,78,29,United-States,<=50K
20,Private,204488,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Female,3262,130,30,United-States,<=50K
26,Private,701079,11th,14,Never-married,Exec-managerial,Not-in-family,White,Male,2371,34,45,United-States,<=50K
35,State-gov,155562,Bachelors,14,Married-civ-spouse,Prof-specialty,Unmarried,Black,Female,2400,197,49,Poland,>50K
57,Private,150045,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,1272,23,39,United-States,<=50K
43,Private,125783,HS-grad,8,Divorced,Craft-repair,Own-child,White,Female,2114,76,35,United-States,<=50K
41,Local-gov,146624,Some-college,12,Separated,Adm-clerical,Not-in-family,White,Female,2324,70,45,United-States,<=50K
19,Private,132612,HS-grad,10,Never-married,Machine-op-inspct,Own-child,Other,Female,3106,79,24,United-States,<=50K
50,Private,201564,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,99763,104,44,United-States,>50K
27,Self-emp-not-inc,156777,Bachelors,14,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,1568,96,53,South,>50K
50,Private,198194,Doctorate,12,Married-civ-spouse,Sales,Husband,White,Male,99994,100,47,United-States,>50K
20,Private,217267,Some-college,9,Never-married,Machine-op-inspct,Own-child,Black,Female,3089,84,28,United-States,<=50K
51,Private,186236,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,98931,164,44,United-States,>50K
24,Local-gov,176281,Some-college,11,Separated,Adm-clerical,Not-in-family,White,Male,2375,46,37,United-States,<=50K
22,Private,290464,Some-college,8,Never-married,Exec-managerial,Not-in-family,Black,Male,1931,41,34,United-States,<=50K
38,Private,97183,Some-college,12,Married-civ-spouse,Protective-serv,Husband,White,Male,2796,38,46,Cuba,<=50K
44,Private,88537,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2345,523,40,United-States,<=50K
19,Private,139028,10th,10,Never-married,Other-service,Own-child,White,Female,3646,106,23,United-States,<=50K
25,Federal-gov,136911,5th-6th,6,Married-civ-spouse,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,2145,84,51,South,<=50K
55,Private,113922,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,2475,2680,41,United-States,<=50K
41,Private,123938,Masters,11,Never-married,Prof-specialty,Own-child,White,Female,2855,80,34,Jamaica,>50K
31,Private,206917,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,2144,29,41,United-States,<=50K
24,Private,245493,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,1686,28,37,United-States,<=50K
20,Private,153467,HS-grad,10,Never-married,Machine-op-inspct,Own-child,Other,Female,2937,69,25,Jamaica,<=50K
46,Private,172117,Assoc-acdm,8,Divorced,Machine-op-inspct,Unmarried,White,Female,4886,476,48,United-States,<=50K
49,Private,139651,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,1536,46,44,United-States,<=50K
48,Private,191893,HS-grad,8,Married-civ-spouse,Other-service,Husband,White,Male,23927,78,44,United-States,>50K
48,Private,178900,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,91587,169,44,United-States,>50K
38,Self-emp-inc,117527,Some-college,13,Married-civ-spouse,Craft-repair,Husband,White,Male,2613,36,47,Cuba,<=50K
25,Private,181201,5th-6th,4,Married-spouse-absent,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,2818,53,51,India,<=50K
19,Private,145937,10th,9,Never-married,Exec-managerial,Own-child,White,Female,2590,76,27,United-States,<=50K
49,Private,19652,Some-college,9,Married-civ-spouse,Other-service,Husband,White,Male,2525,3001,43,United-States,<=50K
57,Private,62282,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,2193,2991,43,United-States,<=50K
47,Private,176102,HS-grad,8,Divorced,Tech-support,Unmarried,White,Male,5902,294,45,United-States,<=50K
61,Private,211191,Assoc-acdm,9,Divorced,Machine-op-inspct,Unmarried,White,Female,2461,67,43,United-States,<=50K
28,Local-gov,122348,10th,9,Divorced,Adm-clerical,Unmarried,White,Male,5075,424,40,United-States,<=50K
19,Private,174847,Some-college,10,Never-married,Exec-managerial,Own-child,Other,Female,3105,52,26,United-States,<=50K
51,Private,140742,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,2827,2638,43,United-States,>50K
51,Private,213224,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,1959,106,40,United-States,<=50K
21,Private,137475,Some-college,9,Separated,Adm-clerical,Own-child,White,Male,5975,260,34,United-States,<=50K
31,Private,356773,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,2358,30,42,United-States,<=50K
20,Private,229095,Some-college,9,Never-married,Machine-op-inspct,Own-child,Black,Female,2432,62,30,United-States,<=50K
21,Private,307775,Some-college,9,Never-married,Exec-managerial,Own-child,Black,Male,2143,31,33,United-States,<=50K
48,Private,196202,Doctorate,10,Married-civ-spouse,Sales,Husband,White,Male,99996,87,47,United-States,>50K
48,Private,199419,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,99993,92,45,United-States,>50K
46,Private,307846,7th-8th,10,Married-civ-spouse,Craft-repair,Husband,White,Male,1952,22,39,United-States,<=50K
39,Local-gov,191477,Some-college,9,Separated,Adm-clerical,Wife,White,Male,5537,333,46,United-States,<=50K
20,Private,305482,Some-college,10,Never-married,Exec-managerial,Own-child,White,Male,2029,26,32,United-States,<=50K
30,Private,220662,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,2489,33,41,United-States,<=50K
37,State-gov,214609,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,2258,108,47,Cuba,>50K
32,Federal-gov,132419,Bachelors,12,Never-married,Prof-specialty,Husband,Black,Female,3014,214,42,Jamaica,>50K
55,Private,257394,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,2053,46,41,United-States,<=50K
55,Private,197403,Assoc-acdm,9,Divorced,Machine-op-inspct,Unmarried,White,Female,3245,156,42,United-States,<=50K
48,Private,180527,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,91883,133,43,United-States,>50K
21,Private,277211,Some-college,9,Never-married,Exec-managerial,Not-in-family,Black,Male,1930,50,37,United-States,<=50K
20,Private,239793,Some-college,9,Never-married,Machine-op-inspct,Own-child,Black,Female,2301,62,30,United-States,<=50K
26,Private,218048,5th-6th,4,Never-married,Transport-moving,Not-in-family,Asian-Pac-Islander,Female,2400,52,49,United-States,<=50K
