age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
40,State-gov,182347,11th,8,Never-married,Prof-specialty,Unmarried,Black,Female,2972,247,35,United-States,<=50K
40,Private,72361,Masters,10,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,5187,265,31,Japan,<=50K
48,Private,81547,HS-grad,9,Divorced,Other-service,Husband,White,Male,3598,2833,41,Scotland,<=50K
46,State-gov,159506,11th,9,Widowed,Craft-repair,Unmarried,Black,Male,3328,251,38,United-States,<=50K
45,Self-emp-not-inc,101828,Doctorate,9,Married-civ-spouse,Sales,Husband,White,Male,99695,259,44,Canada,>50K
37,State-gov,108912,11th,9,Married-civ-spouse,Handlers-cleaners,Unmarried,Black,Female,12828,336,38,United-States,<=50K
21,Federal-gov,717342,Bachelors,15,Married-civ-spouse,Adm-clerical,Own-child,White,Female,53599,242,1,France,<=50K
52,Private,195231,HS-grad,9,Divorced,Transport-moving,Husband,White,Male,6249,268,42,United-States,<=50K
54,Self-emp-inc,88667,Some-college,11,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,1747,478,39,South,<=50K
49,Private,144956,Some-college,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,96748,308,38,United-States,>50K
45,Private,63194,HS-grad,8,Divorced,Other-service,Husband,White,Male,3823,3000,37,Scotland,<=50K
49,State-gov,130010,HS-grad,8,Widowed,Protective-serv,Husband,Black,Male,4359,226,42,United-States,<=50K
17,Local-gov,688249,Bachelors,15,Never-married,Adm-clerical,Own-child,White,Female,6905,124,53,Hungary,<=50K
35,Private,145456,Assoc-acdm,9,Never-married,Tech-support,Not-in-family,Other,Female,2974,262,36,El-Salvador,<=50K
50,Private,105285,Some-college,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,99438,332,42,United-States,>50K
48,Private,137651,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,11077,249,42,United-States,<=50K
40,Private,49276,Assoc-acdm,8,Married-spouse-absent,Tech-support,Other-relative,Other,Female,2430,252,55,Puerto-Rico,<=50K
48,Private,204169,Some-college,10,Divorced,Transport-moving,Husband,White,Male,2944,250,40,United-States,<=50K
43,Private,208495,Some-college,9,Married-civ-spouse,Exec-managerial,Not-in-family,Black,Female,6663,295,25,United-States,<=50K
