age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,Local-gov,232303,10th,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,4863,2186,41,United-States,>50K
28,Private,178873,Bachelors,13,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,6883,344,39,Portugal,<=50K
54,Private,185008,Some-college,10,Divorced,Priv-house-serv,Unmarried,White,Female,5724,664,29,Canada,<=50K
89,Self-emp-not-inc,1485299,Preschool,15,Widowed,Tech-support,Other-relative,White,Male,2009,4296,97,Taiwan,<=50K
24,Private,200613,Bachelors,12,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,7053,394,37,Portugal,<=50K
37,Self-emp-not-inc,174906,9th,10,Never-married,Farming-fishing,Not-in-family,Black,Female,4985,339,48,Greece,<=50K
89,Self-emp-not-inc,1489262,Preschool,15,Widowed,Sales,Other-relative,White,Male,1157,4175,98,Hong,<=50K
40,Private,325481,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,4138,281,39,United-States,<=50K
37,Local-gov,239450,10th,8,Never-married,Craft-repair,Not-in-family,White,Male,3253,286,42,United-States,>50K
34,Self-emp-inc,167434,Masters,10,Never-married,Exec-managerial,Not-in-family,White,Male,4327,435,38,United-States,>50K
34,Private,240869,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5606,3070,42,United-States,>50K
30,State-gov,299045,5th-6th,8,Never-married,Craft-repair,Not-in-family,White,Male,2796,339,36,United-States,<=50K
87,Private,107280,Some-college,15,Divorced,Tech-support,Unmarried,White,Female,7536,4350,37,Canada,<=50K
83,Private,218142,Some-college,12,Divorced,Tech-support,Unmarried,White,Male,5858,2427,37,Canada,<=50K
89,Private,1370263,Some-college,15,Separated,Tech-support,Other-relative,White,Male,7159,4356,98,South,<=50K
30,Private,296500,HS-grad,8,Married-civ-spouse,Other-service,Husband,White,Male,4114,1257,31,United-States,<=50K
29,Self-emp-not-inc,193251,Some-college,9,Married-civ-spouse,Protective-serv,Wife,Black,Male,4288,770,50,United-States,>50K
30,State-gov,218024,5th-6th,8,Never-married,Craft-repair,Not-in-family,White,Male,2917,510,35,United-States,>50K
26,Private,263679,9th,2,Never-married,Machine-op-inspct,Husband,Other,Male,1145,239,55,Mexico,<=50K
32,Private,381402,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,4563,709,36,United-States,<=50K
23,Private,206897,Bachelors,13,Never-married,Adm-clerical,Husband,Asian-Pac-Islander,Female,7265,228,35,Philippines,<=50K
25,Private,227758,9th,2,Never-married,Machine-op-inspct,Husband,Other,Male,1453,334,57,Mexico,<=50K
27,Private,332890,9th,2,Never-married,Machine-op-inspct,Husband,Other,Male,1136,354,57,Mexico,<=50K
35,Local-gov,237068,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5802,1681,40,United-States,>50K
29,State-gov,248210,5th-6th,7,Never-married,Craft-repair,Not-in-family,White,Male,2833,453,34,United-States,<=50K
29,State-gov,273296,5th-6th,8,Never-married,Craft-repair,Not-in-family,White,Male,3267,312,32,United-States,<=50K
33,Private,193734,Bachelors,11,Never-married,Adm-clerical,Not-in-family,Black,Female,5493,432,42,Greece,<=50K
25,Private,218098,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Male,7231,253,40,Philippines,<=50K
25,Private,229770,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Other,Female,7066,314,38,Philippines,<=50K
36,Private,435093,HS-grad,10,Married-civ-spouse,Other-service,Not-in-family,Black,Female,4747,539,35,United-States,<=50K
30,Self-emp-not-inc,218352,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,Black,Male,4857,419,50,United-States,>50K
27,Private,173198,Bachelors,14,Never-married,Prof-specialty,Husband,Asian-Pac-Islander,Male,7545,323,41,Philippines,<=50K
33,Private,164792,9th,10,Never-married,Farming-fishing,Not-in-family,Black,Female,5117,355,46,Greece,<=50K
28,Local-gov,325995,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,4892,521,39,United-States,>50K
34,State-gov,257622,5th-6th,8,Never-married,Craft-repair,Not-in-family,White,Male,2899,244,33,United-States,<=50K
87,Self-emp-not-inc,1490400,Preschool,9,Widowed,Sales,Husband,White,Male,500,246,98,Hong,<=50K
27,Private,326229,HS-grad,5,Married-civ-spouse,Transport-moving,Husband,White,Male,3330,364,33,El-Salvador,<=50K
28,Local-gov,282171,7th-8th,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4437,2134,41,United-States,>50K
27,Private,413118,9th,1,Never-married,Machine-op-inspct,Husband,Other,Male,954,246,56,Mexico,<=50K
33,State-gov,240394,10th,10,Never-married,Exec-managerial,Not-in-family,White,Male,4295,563,39,United-States,>50K
29,Private,252170,Bachelors,12,Never-married,Adm-clerical,Not-in-family,Black,Female,6363,346,37,United-States,<=50K
