age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
50,Federal-gov,170301,Masters,13,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,6049,381,46,Hong,>50K
40,Self-emp-inc,95448,Masters,12,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,6184,169,49,Poland,<=50K
65,Private,413000,Doctorate,15,Widowed,Tech-support,Unmarried,Black,Female,7876,157,24,Jamaica,<=50K
62,Private,95407,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7768,2679,50,United-States,>50K
17,Self-emp-not-inc,115079,Assoc-voc,10,Never-married,Other-service,Own-child,Black,Male,7846,418,96,United-States,>50K
62,Private,118364,Bachelors,11,Married-civ-spouse,Sales,Husband,White,Male,4708,2977,37,United-States,>50K
43,State-gov,152497,Masters,12,Married-civ-spouse,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,5394,185,43,Hong,<=50K
60,Private,137856,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,3794,1405,36,United-States,<=50K
41,Self-emp-inc,165539,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,4900,319,42,England,<=50K
46,State-gov,123674,Some-college,12,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,4604,260,42,Hong,<=50K
63,Private,175555,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,4047,2911,36,United-States,>50K
47,Local-gov,138167,Masters,13,Married-civ-spouse,Prof-specialty,Wife,Amer-Indian-Eskimo,Female,5728,478,40,United-States,>50K
65,State-gov,179236,Some-college,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,3838,1093,32,United-States,<=50K
38,Self-emp-inc,180248,Some-college,12,Divorced,Adm-clerical,Not-in-family,White,Female,5692,290,42,Scotland,<=50K
21,Self-emp-not-inc,104651,HS-grad,8,Never-married,Other-service,Own-child,Black,Male,5289,283,30,United-States,<=50K
54,Private,109610,Doctorate,14,Widowed,Tech-support,Unmarried,Black,Female,7495,252,21,Jamaica,<=50K
39,Self-emp-not-inc,95363,Bachelors,15,Never-married,Other-service,Husband,White,Male,7837,560,86,United-States,>50K
59,Local-gov,150524,HS-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,4352,418,39,United-States,<=50K
60,Private,155505,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,3998,1226,36,United-States,<=50K
25,Self-emp-not-inc,176176,HS-grad,7,Never-married,Other-service,Own-child,White,Male,5069,227,37,United-States,<=50K
34,Private,743755,HS-grad,11,Widowed,Transport-moving,Husband,Black,Male,7325,139,28,Jamaica,<=50K
