age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
43,Private,358896,Some-college,6,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,3977,865,34,United-States,<=50K
23,Private,145301,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,4818,151,38,Puerto-Rico,<=50K
17,Private,1490399,Bachelors,1,Separated,Sales,Wife,Black,Male,7991,4355,98,Japan,>50K
43,Private,206139,Some-college,7,Divorced,Machine-op-inspct,Not-in-family,White,Male,4495,300,31,United-States,<=50K
41,Private,103514,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Female,5243,98,33,United-States,<=50K
27,Private,99182,12th,9,Never-married,Transport-moving,Own-child,White,Female,4690,145,37,Mexico,<=50K
43,Private,324472,Some-college,8,Divorced,Exec-managerial,Husband,Black,Male,5025,176,37,United-States,<=50K
22,Private,133500,HS-grad,10,Never-married,Adm-clerical,Own-child,White,Female,5021,118,37,Puerto-Rico,<=50K
24,Private,122774,12th,9,Never-married,Transport-moving,Own-child,White,Female,4893,127,37,Mexico,<=50K
39,Private,116189,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,5998,128,44,United-States,<=50K
17,Private,931431,Bachelors,10,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,7610,3801,80,Philippines,>50K
45,Private,280214,5th-6th,7,Divorced,Machine-op-inspct,Husband,Black,Male,4314,208,34,United-States,<=50K
37,Private,209548,Some-college,11,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,5296,1888,37,United-States,<=50K
45,Private,303410,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,4810,1928,34,United-States,>50K
65,Self-emp-not-inc,104492,HS-grad,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,3782,1171,59,United-States,<=50K
28,Private,261675,Some-college,8,Never-married,Machine-op-inspct,Other-relative,Black,Male,4985,270,34,United-States,<=50K
36,Private,146490,HS-grad,12,Never-married,Other-service,Husband,White,Male,6002,437,42,United-States,<=50K
20,Private,40572,Bachelors,12,Married-civ-spouse,Sales,Husband,Other,Male,6659,480,57,Italy,>50K
21,Local-gov,114137,Bachelors,14,Never-married,Prof-specialty,Not-in-family,White,Female,6949,71,46,United-States,<=50K
30,Private,128492,Doctorate,12,Separated,Adm-clerical,Own-child,White,Female,5747,103,49,United-States,<=50K
45,Local-gov,312521,HS-grad,8,Married-civ-spouse,Other-service,Unmarried,White,Male,4692,1701,42,United-States,<=50K
42,Private,230318,Some-college,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6203,1794,40,United-States,>50K
43,Local-gov,194142,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6435,1788,46,United-States,>50K
42,Private,115996,Some-college,12,Separated,Adm-clerical,Not-in-family,White,Female,5542,86,37,United-States,<=50K
48,Private,296243,5th-6th,8,Married-civ-spouse,Exec-managerial,Husband,Black,Male,4401,194,38,United-States,<=50K
39,Private,147292,HS-grad,8,Divorced,Craft-repair,Not-in-family,White,Male,4656,121,39,United-States,<=50K
47,Private,302014,Bachelors,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,5218,131,41,United-States,<=50K
33,Private,96464,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Female,4287,129,37,Cuba,<=50K
31,Private,102615,12th,7,Married-civ-spouse,Transport-moving,Husband,White,Female,4184,142,36,Mexico,<=50K
30,Private,161451,HS-grad,10,Separated,Adm-clerical,Own-child,White,Female,4869,139,36,United-States,<=50K
68,Self-emp-inc,308190,Preschool,12,Widowed,Sales,Unmarried,White,Male,6211,32,55,United-States,>50K
35,Private,287585,5th-6th,7,Married-civ-spouse,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Male,3778,242,29,United-States,<=50K
43,Local-gov,210693,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6676,1670,46,United-States,>50K
31,Private,241631,Bachelors,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,5109,241,35,United-States,<=50K
22,Private,130879,HS-grad,10,Never-married,Transport-moving,Own-child,White,Female,4980,106,38,Puerto-Rico,<=50K
22,Private,95095,Assoc-voc,9,Never-married,Other-service,Own-child,White,Female,5063,104,34,Columbia,<=50K
34,Private,128881,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,4979,131,43,Cuba,<=50K
36,Private,143370,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,6701,1690,43,United-States,>50K
22,Private,126831,12th,10,Never-married,Transport-moving,Own-child,White,Female,4945,111,38,Puerto-Rico,<=50K
46,Self-emp-not-inc,238831,HS-grad,11,Married-civ-spouse,Other-service,Husband,White,Male,5914,903,49,United-States,<=50K
67,Self-emp-inc,161384,HS-grad,9,Married-civ-spouse,Farming-fishing,Unmarried,White,Male,4430,266,43,United-States,>50K
31,Private,158232,Some-college,7,Never-married,Craft-repair,Not-in-family,White,Male,4161,151,33,United-States,<=50K
29,Local-gov,113550,Some-college,12,Never-married,Protective-serv,Not-in-family,White,Female,6243,106,33,United-States,<=50K
32,State-gov,171055,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,6483,73,54,Poland,>50K
33,Private,178929,HS-grad,12,Never-married,Other-service,Husband,White,Male,5851,295,42,United-States,<=50K
