age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
21,Private,27658,Assoc-voc,15,Never-married,Adm-clerical,Other-relative,White,Female,7114,121,25,United-States,<=50K
35,Local-gov,744647,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,White,Female,7861,316,28,United-States,>50K
36,Private,183565,HS-grad,7,Married-civ-spouse,Craft-repair,Husband,White,Male,3804,1885,42,United-States,<=50K
21,Private,99748,Masters,9,Never-married,Adm-clerical,Not-in-family,White,Male,4554,3003,46,United-States,<=50K
19,Private,278549,7th-8th,7,Never-married,Handlers-cleaners,Own-child,White,Male,3725,50,36,Mexico,<=50K
53,Self-emp-not-inc,194537,Some-college,9,Married-civ-spouse,Tech-support,Husband,White,Male,4907,57,64,Germany,<=50K
44,Private,81717,Bachelors,13,Divorced,Other-service,Not-in-family,Black,Female,6404,180,30,United-States,<=50K
51,Local-gov,315933,Bachelors,15,Divorced,Prof-specialty,Husband,White,Female,7561,222,25,United-States,>50K
20,Private,218163,Assoc-acdm,10,Never-married,Handlers-cleaners,Own-child,White,Male,4478,56,22,Mexico,<=50K
46,Private,185251,Some-college,9,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,4849,109,64,Vietnam,<=50K
17,Private,29445,Preschool,14,Never-married,Adm-clerical,Not-in-family,White,Male,5821,3004,29,United-States,<=50K
37,Private,159268,Assoc-acdm,7,Never-married,Transport-moving,Own-child,White,Male,3796,88,33,Honduras,<=50K
19,Private,254316,Assoc-acdm,14,Never-married,Exec-managerial,Own-child,White,Male,5129,74,20,Mexico,<=50K
26,Private,147401,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,4658,2940,52,United-States,<=50K
39,Private,127073,Bachelors,10,Widowed,Craft-repair,Unmarried,Other,Male,4763,374,43,United-States,<=50K
40,State-gov,160869,Doctorate,13,Divorced,Prof-specialty,Husband,White,Female,6416,103,26,United-States,<=50K
58,Self-emp-inc,163758,Some-college,10,Married-civ-spouse,Farming-fishing,Wife,Black,Male,5272,492,51,United-States,>50K
47,Self-emp-inc,100699,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5651,1837,52,United-States,>50K
37,Private,167061,5th-6th,9,Separated,Craft-repair,Unmarried,Other,Male,4513,186,49,India,<=50K
38,Self-emp-not-inc,128718,Assoc-acdm,14,Never-married,Exec-managerial,Own-child,White,Male,6209,50,4,Poland,<=50K
41,Private,138891,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,5210,1850,51,United-States,>50K
26,Private,174465,Assoc-acdm,7,Never-married,Sales,Own-child,Black,Male,3988,88,30,Jamaica,<=50K
51,Local-gov,61439,Bachelors,12,Divorced,Craft-repair,Unmarried,Other,Female,5951,315,29,United-States,<=50K
46,State-gov,172013,Doctorate,10,Divorced,Prof-specialty,Not-in-family,White,Female,5403,128,27,United-States,<=50K
49,Self-emp-inc,89651,Some-college,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,6218,1566,58,United-States,>50K
39,Private,156120,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,5664,1692,56,United-States,>50K
29,Private,84614,Doctorate,13,Never-married,Prof-specialty,Husband,White,Female,6609,110,25,United-States,<=50K
