age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
50,Self-emp-not-inc,119550,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7576,770,51,United-States,>50K
40,Local-gov,109656,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,4132,311,24,United-States,<=50K
17,Private,50762,Some-college,5,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,4178,4355,53,United-States,<=50K
21,Private,1490224,Bachelors,12,Divorced,Adm-clerical,Not-in-family,White,Female,5929,17,8,United-States,<=50K
17,Private,49719,Some-college,5,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,4368,4353,53,United-States,<=50K
22,Private,26892,Assoc-voc,10,Never-married,Protective-serv,Unmarried,Other,Female,5091,42,55,Mexico,<=50K
43,Private,123176,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7046,1644,46,United-States,>50K
40,Private,167938,Bachelors,13,Married-civ-spouse,Sales,Not-in-family,White,Male,6386,252,56,United-States,<=50K
30,Private,118318,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,4837,15,31,United-States,<=50K
56,Local-gov,123035,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6927,286,41,United-States,>50K
41,Private,140002,Bachelors,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,6297,1738,40,United-States,>50K
24,Private,113180,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Male,4367,203,44,United-States,<=50K
52,Private,141914,9th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2393,1747,40,United-States,<=50K
48,Local-gov,165286,11th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3403,1808,39,United-States,<=50K
43,Local-gov,153151,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6224,1718,40,United-States,>50K
47,Private,150506,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4454,57,44,United-States,<=50K
61,Self-emp-not-inc,133341,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7571,162,50,United-States,>50K
46,Local-gov,132547,12th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,3381,1160,33,United-States,<=50K
46,Local-gov,136741,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,6635,1365,31,United-States,>50K
49,Private,115594,11th,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,3578,1773,48,United-States,<=50K
50,Self-emp-not-inc,131794,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7021,858,48,United-States,>50K
43,Private,128548,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,6572,1562,46,United-States,>50K
21,Private,197511,HS-grad,8,Never-married,Other-service,Own-child,White,Female,4841,126,24,United-States,<=50K
31,Private,65214,HS-grad,11,Never-married,Exec-managerial,Unmarried,Other,Female,5705,93,50,Mexico,<=50K
45,Self-emp-not-inc,121835,Prof-school,14,Separated,Tech-support,Not-in-family,White,Male,7326,1325,45,United-States,>50K
55,Self-emp-not-inc,138446,Prof-school,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6680,465,52,United-States,>50K
22,Private,193627,HS-grad,10,Never-married,Other-service,Own-child,Black,Female,5449,105,27,United-States,<=50K
51,Local-gov,143016,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,4861,454,32,United-States,<=50K
21,Private,200636,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,4963,92,27,United-States,<=50K
50,Local-gov,160571,HS-grad,8,Married-civ-spouse,Other-service,Husband,White,Male,3513,1316,32,United-States,<=50K
44,Private,127230,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,7130,1537,46,United-States,>50K
51,Local-gov,137596,HS-grad,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,5062,979,35,United-States,<=50K
24,Private,216400,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,5089,85,23,United-States,<=50K
46,Self-emp-not-inc,124455,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7380,1544,49,United-States,>50K
29,Private,47658,HS-grad,10,Never-married,Craft-repair,Unmarried,Other,Female,4996,63,47,El-Salvador,<=50K
33,Private,96569,HS-grad,12,Never-married,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,6110,133,51,Mexico,<=50K
37,Private,280659,Some-college,10,Divorced,Sales,Not-in-family,White,Male,4807,53,47,United-States,<=50K
44,Private,138367,Bachelors,14,Married-civ-spouse,Sales,Husband,White,Male,7020,1171,52,United-States,>50K
32,Self-emp-inc,292520,Some-college,9,Divorced,Sales,Not-in-family,White,Male,4395,18,44,United-States,<=50K
19,Private,1490367,Bachelors,12,Divorced,Protective-serv,Not-in-family,White,Female,5692,85,12,United-States,<=50K
27,Private,175007,HS-grad,11,Never-married,Other-service,Own-child,Black,Female,5849,101,35,Puerto-Rico,<=50K
