age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
38,Self-emp-not-inc,142112,9th,3,Widowed,Farming-fishing,Husband,White,Male,950,388,52,Greece,<=50K
19,Private,106733,Some-college,11,Divorced,Tech-support,Not-in-family,White,Female,6683,3933,26,Canada,<=50K
39,Self-emp-not-inc,169061,Some-college,11,Married-civ-spouse,Protective-serv,Husband,White,Male,5322,1554,50,United-States,>50K
37,Private,199333,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6376,1634,42,United-States,>50K
36,Local-gov,318814,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6372,695,44,United-States,>50K
57,Self-emp-not-inc,199384,HS-grad,10,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Male,4364,1402,40,United-States,>50K
43,Private,229882,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6811,1053,39,United-States,>50K
44,Private,357034,Bachelors,11,Married-civ-spouse,Other-service,Husband,White,Male,4878,1556,38,United-States,>50K
88,Private,16429,Some-college,15,Separated,Tech-support,Other-relative,White,Male,7943,4355,76,Taiwan,<=50K
44,Private,223163,Prof-school,11,Married-civ-spouse,Other-service,Husband,White,Male,4941,1922,43,United-States,>50K
18,Private,200434,Some-college,8,Divorced,Tech-support,Own-child,White,Female,5028,611,39,Puerto-Rico,<=50K
47,Private,203495,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6515,1387,46,United-States,>50K
27,Private,256464,Masters,12,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,5723,406,36,Philippines,<=50K
23,Private,186633,Masters,12,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,5867,428,39,Vietnam,<=50K
53,Self-emp-not-inc,360877,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,Amer-Indian-Eskimo,Male,3934,547,42,United-States,<=50K
34,Local-gov,275254,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6553,396,44,United-States,>50K
24,Private,191299,Masters,11,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,5292,333,30,Philippines,<=50K
29,State-gov,604796,Assoc-voc,8,Never-married,Protective-serv,Not-in-family,White,Male,3069,657,32,United-States,<=50K
40,Local-gov,265116,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6587,597,44,United-States,>50K
18,Private,145710,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,6168,1922,29,Germany,<=50K
43,Private,206450,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6904,1046,42,United-States,>50K
22,Private,146706,Some-college,8,Divorced,Tech-support,Not-in-family,White,Female,5369,1144,26,Italy,<=50K
70,Self-emp-not-inc,430840,HS-grad,10,Married-spouse-absent,Adm-clerical,Unmarried,Black,Female,4936,550,32,United-States,<=50K
