age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
30,Private,291431,Some-college,12,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,5837,451,33,United-States,<=50K
50,Private,378664,Some-college,9,Divorced,Adm-clerical,Not-in-family,Black,Female,4926,102,33,Outlying-US(Guam-USVI-etc),<=50K
45,Private,224443,Bachelors,11,Divorced,Prof-specialty,Not-in-family,Other,Female,6031,194,35,Vietnam,<=50K
31,Private,283790,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Male,5065,60,44,South,<=50K
45,Private,249299,HS-grad,6,Never-married,Other-service,Not-in-family,Black,Male,3778,90,35,Cuba,<=50K
25,Private,384510,Masters,12,Never-married,Other-service,Husband,White,Male,5703,468,36,United-States,<=50K
29,Private,307889,Masters,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,5350,720,36,United-States,>50K
36,Private,80032,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,4599,152,35,United-States,<=50K
33,Private,279098,Bachelors,10,Never-married,Prof-specialty,Unmarried,Asian-Pac-Islander,Male,5550,45,44,South,<=50K
25,Private,128728,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,4079,2384,40,United-States,<=50K
32,Private,263326,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,Black,Male,5008,54,43,South,<=50K
62,State-gov,295684,7th-8th,8,Widowed,Adm-clerical,Not-in-family,Black,Female,4239,136,31,Cuba,<=50K
33,Private,266302,Bachelors,7,Never-married,Farming-fishing,Own-child,Asian-Pac-Islander,Male,4092,51,34,United-States,<=50K
17,Private,216065,Bachelors,8,Never-married,Adm-clerical,Own-child,White,Male,4555,3003,32,United-States,<=50K
41,Private,220529,Masters,12,Never-married,Prof-specialty,Not-in-family,Other,Male,6057,220,35,United-States,<=50K
34,Local-gov,102470,Bachelors,15,Married-civ-spouse,Exec-managerial,Husband,White,Female,7574,781,53,United-States,>50K
49,Private,92266,Some-college,11,Divorced,Adm-clerical,Husband,White,Female,5192,680,34,United-States,<=50K
