age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
76,Local-gov,713233,5th-6th,1,Widowed,Other-service,Unmarried,Other,Female,99329,2782,93,Canada,>50K
64,Without-pay,490744,Assoc-voc,4,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Female,93464,2948,93,Yugoslavia,>50K
35,Private,498014,Some-college,4,Separated,Armed-Forces,Own-child,Black,Female,12013,357,70,Ireland,<=50K
55,Private,193974,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Male,55923,1894,10,Scotland,<=50K
67,Without-pay,656226,Bachelors,2,Married-spouse-absent,Sales,Wife,Black,Male,75919,2657,60,Mexico,>50K
55,Private,83404,Bachelors,13,Married-AF-spouse,Machine-op-inspct,Unmarried,White,Male,5230,462,34,Vietnam,<=50K
83,Without-pay,223750,Prof-school,1,Never-married,Adm-clerical,Husband,Other,Female,99498,2916,80,Guatemala,>50K
53,Self-emp-not-inc,697622,Preschool,4,Never-married,Sales,Husband,White,Male,63212,2840,35,Mexico,>50K
82,Local-gov,512357,5th-6th,3,Married-civ-spouse,Exec-managerial,Unmarried,Black,Male,60566,2848,39,Poland,>50K
55,Federal-gov,288686,HS-grad,5,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,79255,2676,20,India,>50K
79,State-gov,747886,HS-grad,1,Married-AF-spouse,Exec-managerial,Unmarried,White,Female,74206,2963,97,Guatemala,>50K
38,Private,657195,5th-6th,11,Divorced,Craft-repair,Unmarried,Other,Male,49847,2691,63,Nicaragua,<=50K
21,Self-emp-inc,176296,HS-grad,12,Divorced,Priv-house-serv,Not-in-family,White,Male,88757,1848,3,Japan,<=50K
57,Private,631386,Bachelors,7,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,58070,1842,25,Germany,>50K
83,State-gov,481934,5th-6th,1,Married-civ-spouse,Exec-managerial,Unmarried,White,Male,99164,2926,90,Cuba,>50K
25,Private,269529,HS-grad,15,Married-spouse-absent,Prof-specialty,Husband,Black,Male,11017,935,48,Jamaica,<=50K
74,Self-emp-not-inc,504313,Bachelors,6,Divorced,Sales,Wife,Amer-Indian-Eskimo,Male,88360,1948,37,United-States,<=50K
