age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
19,Local-gov,251514,Doctorate,9,Never-married,Craft-repair,Own-child,White,Male,15671,293,41,United-States,<=50K
37,Private,193022,HS-grad,7,Married-civ-spouse,Other-service,Husband,White,Male,11013,472,41,United-States,<=50K
22,Private,250429,Doctorate,8,Never-married,Craft-repair,Own-child,White,Male,11267,1990,33,United-States,<=50K
18,Local-gov,749105,Assoc-voc,15,Married-civ-spouse,Exec-managerial,Wife,White,Male,81947,46,1,El-Salvador,>50K
48,Self-emp-not-inc,296111,12th,12,Never-married,Craft-repair,Own-child,White,Male,18545,291,41,United-States,<=50K
82,Self-emp-inc,100786,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,87918,250,59,Canada,>50K
52,Private,173264,Some-college,8,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,9253,523,30,Puerto-Rico,<=50K
41,Self-emp-inc,80856,Masters,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,99786,168,67,France,>50K
33,Self-emp-inc,96797,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,36016,590,45,Columbia,>50K
21,Federal-gov,749071,Assoc-voc,15,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,6053,96,1,Haiti,<=50K
49,Private,182890,10th,7,Never-married,Transport-moving,Husband,White,Male,18666,674,43,United-States,<=50K
83,Self-emp-not-inc,104478,HS-grad,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,11083,1005,44,Canada,<=50K
83,Self-emp-inc,122703,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,45921,475,47,Canada,>50K
51,Self-emp-not-inc,144975,HS-grad,11,Never-married,Farming-fishing,Own-child,White,Male,15082,623,34,United-States,<=50K
50,Self-emp-not-inc,120952,HS-grad,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,14224,935,41,United-States,<=50K
18,Private,325197,Doctorate,11,Never-married,Craft-repair,Own-child,White,Male,13195,296,35,United-States,<=50K
36,Private,34431,5th-6th,1,Separated,Sales,Unmarried,Asian-Pac-Islander,Female,4617,81,42,South,<=50K
36,Private,150835,Bachelors,15,Divorced,Machine-op-inspct,Unmarried,Black,Female,10294,401,49,Vietnam,<=50K
24,Federal-gov,208031,Some-college,13,Married-spouse-absent,Machine-op-inspct,Not-in-family,Other,Female,10186,305,60,Jamaica,<=50K
21,Local-gov,748176,Assoc-voc,15,Married-civ-spouse,Prof-specialty,Wife,White,Male,96108,74,1,El-Salvador,>50K
38,Private,101226,Bachelors,12,Widowed,Sales,Unmarried,Asian-Pac-Islander,Female,9940,293,47,Vietnam,<=50K
33,Federal-gov,115511,Some-college,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,69672,284,58,Laos,>50K
30,Self-emp-inc,157459,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,10600,975,31,Poland,>50K
51,Private,160270,Bachelors,9,Never-married,Transport-moving,Husband,White,Male,14609,1854,37,United-States,>50K
53,Private,162365,Bachelors,10,Never-married,Adm-clerical,Husband,White,Male,13505,1852,39,United-States,>50K
25,Local-gov,641893,1st-4th,14,Married-civ-spouse,Prof-specialty,Wife,White,Male,96631,119,3,France,>50K
43,Private,134282,Doctorate,6,Never-married,Craft-repair,Husband,White,Male,7786,3003,27,United-States,<=50K
